Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100u,C15008
"C2, C4",0805,2,10n,C1710
C3,0603,1,1n,C1588
C6,0603,1,220p,C1603
C7,1206,1,22u,C12891
"C8, C9",0603,2,100n,C14663
"D1, D10, D2, D3, D4, D9",D_SOD-123F,6,SM4007PL,C64898
Q1,TO229P800X325X1420-3,1,MJE182G,C27681
"Q12, Q13",SOT-23,2,MMBT5401,C8326
Q2,TO229P800X325X1420-3,1,MJE172G,C27682
"Q3, Q9",SOT-23,2,MMBT5551(RANGE:200-300),
"R1, R2",1206,2,10,C17903
"R10, R11",1206,2,1k,C4410
R12,0805,1,51,C17738
R13,1206,1,100k,C17900
R14,0805,1,510,C17734
"R15, R8",0805,2,200,C17540
R3,1206,1,4k7,C17936
R4,0603,1,75,C4275
"R5, R7",1206,2,2k,C17944
"R6, R9",1206,2,10k,C17902
