Designator,Mid X,Mid Y,Rotation,Layer
C1,109.855,-91.885,270.0,top
C2,121.88,-91.98,0.0,top
C3,107.345,-97.98,180.0,top
C4,108.48,-95.575,0.0,top
C6,94.95,-89.925,180.0,top
C7,95.75,-91.8,0.0,top
C8,107.93,-105.66,270.0,top
C9,120.42,-104.525,90.0,top
D1,116.5,-96.74,270.0,top
D10,104.6275,-104.1,180.0,top
D2,101.0425,-85.82,0.0,top
D3,106.0325,-85.84,0.0,top
D4,112.8475,-95.49,180.0,top
D9,117.1825,-104.35,0.0,top
Q1,116.0,-100.6125,180.0,top
Q12,104.1425,-88.96,180.0,top
Q13,100.4925,-88.785,270.0,top
Q2,106.0,-100.6125,180.0,top
Q3,118.1225,-92.38,90.0,top
Q9,104.81,-96.385,180.0,top
R1,111.22,-97.84,180.0,top
R10,105.68,-91.81,0.0,top
R11,118.33,-89.28,0.0,top
R12,121.03,-100.7525,270.0,top
R13,89.525,-91.875,0.0,top
R14,113.93,-92.0425,90.0,top
R15,101.905,-94.6725,270.0,top
R2,120.01,-96.15,90.0,top
R3,114.76,-87.37,90.0,top
R4,106.27,-93.865,0.0,top
R5,112.55,-104.35,180.0,top
R6,121.85,-88.54,270.0,top
R7,110.07,-88.11,0.0,top
R8,89.3875,-89.775,0.0,top
R9,101.0925,-91.785,0.0,top
